	road_name
428	Route de Jussy
429	Quai de Cologny 61
430	Rue Pestalozzi 29
431	Route d'Aire-la-Ville 220-224
432	Boulevard Helvétique 30-34
433	Route de Chêne 100-102
434	Route de l'Usine-à-Gaz 10-16
435	Rue Saint-Léger
436	Route de Peney-Dessus
437	Rue des Pâquis 31-29
438	Chemin du Rail
439	Chemin de Sous le Clos 2-14
440	Route du Nant-d'Avril 58-68
441	Rue François-Diday 2
442	Rue de Vermont
443	Route de Saint-Julien
444	Avenue A.-M.-Mirany 36
445	Route de Suisse 138-150
446	Chemin Frank-Thomas 6
447	Rue Dancet 9-1
448	Rue de Veyrier 22-26
449	Quai du Général-Guisan 34
450	Rue de Berne 50-54
451	A1a
452	Rue Philippe-Plantamour
453	Unnamed Road
454	Route de Base 68-66
455	Route de Frontenex 70-72
456	Chemin de l'Ecu 1
457	Route de Vernier
458	Route de Vernier
459	Avenue de France
460	Route de Mon-Idée
461	Rue des Cordiers 2-10
462	Unnamed Road
463	Chemin de Champ-Dollon
464	Rue Ferdinand-Hodler
465	Pont de la Coulouvrenière 1
466	Route des Jeunes
467	Chemin de la Chevillarde 10-4
468	Route de Saint-Julien 77-75
469	Rue de la Cloche
470	Rue Henri-Mussard 19-13
471	Route de Corsier 13
472	Rue de Saint-Victor 8
473	Quai du Général-Guisan 36-38
474	Rue des Alpes
475	Route de Pierre-Grand
476	Avenue A.-M.-Mirany
477	E62
478	Route de Vernier 137
479	A1a
480	Avenue Blanc 2-6
481	Rue de la Muse 8-10
482	Rue de la Pépinière
483	Route de Veyrier 57-55
484	Quai Gustave-Ador 82
485	Chemin de la Roselière 6-8
486	E62
487	:ERROR STATUS: NOT_FOUND
488	E62
489	Avenue de Feuillasse
490	Promenade de l'Europe
491	Rue Lect
492	Avenue d'Aïre
493	Route de Malagnou 159
494	Chemin de Tréchaumont
495	Rue de Livron
496	Chemin de la Gentille 34-38
497	Rue de Lyon 67-61
498	Quai de Cologny 8
499	Route du Pont Butin 76-80
500	Boulevard des Promenades 1
501	Rue de Sous-Terre
502	E62
503	Rue du Bachet 7-3
504	Rue de la Golette
505	Rue du Lièvre 2-4
506	Rue du Collège 19-13
507	Route de Choulex 2-30
508	Chemin des Tuileries
509	Rue du Stand 54
510	Avenue de Vaudagne
511	Rue du Rhône 94
512	Grottes - Saint-Gervais
513	Route du Nant-d'Avril 67-49
514	Rue Jean-François Bartholoni 2-8
515	Avenue de Bel-Air
516	Avenue Louis-Casaï 72-78
517	Rue Pierre-Fatio 4
518	Unnamed Road
519	Rue François-Dussaud
520	Route du Nant-d'Avril 67-49
521	Quai Wilson 35-37
522	Route d'Aire-la-Ville
523	Boulevard des Promenades
524	Rue Jean-François Bartholoni 10
525	Avenue Krieg 44
526	Unnamed Road
527	:ERROR STATUS: NOT_FOUND
528	Saint-Jean - Charmilles
529	Rue des Asters
530	Rue Terreaux-du-Temple 20-22
531	Route des Acacias 18-8
532	Route de Vernier
533	Pont Butin
534	Rue Dancet 12-20
535	Rue des Bains 12-20
536	Rue du Temple
537	Route du Pont Butin
538	Place du Marché 9-1
539	Avenue de la Praille
540	Boulevard Georges-Favon 15
541	Rue de Livron
542	Saint-Jean - Charmilles
543	Boulevard Georges-Favon 35
544	:ERROR STATUS: NOT_FOUND
545	Avenue Tronchet 17
546	Rue François-Versonnex 8
547	Rue du Collège 11-1
548	Route de Meyrin
549	Chemin de Ruth 9
550	Route du Bois-des-Frères 10-12
551	Rue des Voisins 2-12
552	Avenue de Bel-Air
553	Route de Suisse 164-166
554	Route de Malagnou 19
555	Tunnel de Vernier
556	Quai Charles-Page
557	Chemin des Embrouchis
558	Route de Thonon 11
559	Rue de Fribourg 2-16
560	Cours de Rive 18-20
561	Rue des Barques 2-4
562	Route de Saint-Julien
563	Route d'Annecy 202-212
564	Route de Meyrin
565	Rue de Hesse 4
566	Unnamed Road
567	Rue Emile-Nicolet 7
