	road_name
347	Rue Jean-Ant.-Gautier 18
348	Avenue de Bel-Air
349	Rampe de Cologny
350	Avenue Wendt 9-1
351	Route de Thonon 215-201
352	Chemin de la Caroline 12-18
353	Avenue du Rond-Point 13
354	Rue Cramer 2-6
355	Chemin de la Chevillarde 10-4
356	Ch. Jacques-Philibert-de-Sauvage 40-42
357	Chemin de Pré-Marquis
358	Route de Vernier
359	Chemin des Semailles
360	Chemin Jacques-Philibert-de-Sauvage
361	Route de Jussy 71
362	Route du Pont Butin 12
363	Rue de la Synagogue 34
364	Champel
365	Avenue Bois-de-la-Chapelle
366	Rue du Mont-Blanc 7
367	Rue Philippe-Plantamour 6-14
368	Rue des Moulins 34
369	Rue de Chantepoulet 13-1
370	Chemin de la Salésienne 10-14
371	Rue François-Versonnex 8
372	Parc du Château-Banquet 2-26
373	E62
374	E62
375	Route Douanière
376	Pont du Mont-Blanc
377	Rue Emilie-Gourd
378	Route de Frontenex 58
379	Rue des Vollandes 11-1
380	Quai Gustave-Ador
381	Unnamed Road
382	Route de Verbois
383	Avenue de Thônex
384	Chemin du Moulin-de-la-Grave 6-12
385	Rue du Mont-Blanc 1
386	Route de Vandœuvres
387	Chemin de la Gradelle 34-40
388	Square du Mont-Blanc
389	Route de Colovrex
390	E62
391	Unnamed Road
392	Route de Base
393	Chemin du Grand-Puits
394	E62
395	Avenue Trembley 14
396	Chemin du Velours 35-27
397	Route Martin-Bodmer 6-20
398	Route de Chancy
399	Chemin de Morglas
400	Rue François-Bonivard 8-12
401	:ERROR STATUS: NOT_FOUND
402	Route de Grenand 49-43
403	Route de Saint-Julien
404	Tranchée du Bachet-de-Pesay
405	Voie Centrale
406	Place de Cornavin 7
407	Route de Vandœuvres 90-92
408	Chemin Neuf 3-1
409	Quai du Général-Guisan 26
410	Rue de la Prulay 41-37
411	Place du Cirque 2-4
412	Chemin de Malagny-le-Lac 15-1
413	Route de Vernier 135
414	Route de Suisse 22-36
415	E62
416	Chemin du Petit-Bel-Air 2
417	Avenue d'Aïre 40
418	Route de Bellegarde 28-40
419	Rue de Veyrier 2-4
420	Rue de Lyon 21-9
421	Route de Saint-Julien 107-103
422	Saint-Jean - Charmilles
423	Route de Meyrin 2-8
424	E62
425	E62
426	Pont du Mont-Blanc
427	Pâquis-Nations
