	road_name
390	Quai Gustave-Ador 42
391	Rue Guillaume-de-Marcossay 21-7
392	Route du Merley
393	Route Douanière
394	Rue Barton 7
395	Rue du Mandement
396	Route de l'Aéroport
397	Route de Vernier
398	Route de Mon-Idée
399	Route de Vernier 137
400	Rue du Vidollet
401	Rue de Lyon 24-30
402	Place des Eaux-Vives 8-12
403	Chemin De-Sales
404	Chemin de la Mousse
405	Rue Jean-Ant.-Gautier 8-16
406	Route des Jeunes
407	Rue Jean-François Bartholoni 10
408	Chemin d'Archamps 15-5
409	Unnamed Road
410	Route de la Galaise 1
411	Rue de Berne 50-54
412	Avenue du Curé Baud
413	Rue Henri-Blanvalet 5-1
414	Rue de la Prulay
415	Rue des Glacis-de-Rive 12-14
416	E62
417	Rue des Mouettes 7
418	Rue de la Terrassière 32-40
419	Route de Malagnou 16-10
420	Rue de Lyon 75
421	Rue du Rhône
422	Rue de Lyon 106-108
423	Route de Saint-Julien 82-84
424	Avenue de l'Amandolier 19-11
425	Quai Gustave-Ador
426	Rue Ferdinand-Hodler
427	Avenue Ernest-Pictet 18-22
428	Route de Rennex
429	Chemin du Clos 4-6
430	Route de Malagnou 29-27
431	Avenue Wendt 9-1
432	Unnamed Road
433	Rue de la Servette 3-1
434	Route de Thonon 349-345
435	Route de Vernier
436	Route des Baillets
437	Rue de Berne 37-31
438	Pâquis-Nations
439	Rue de la Coulouvrenière 8-16
440	Rue du Rhône 47
441	Rue Baulacre
442	Rue de Carouge 65-57
443	Route de Choulex
444	Route de Soral
445	A1a
446	Pregny-Chambésy
447	Avenue de Sainte-Clotilde 2-6
448	A1a
449	:ERROR STATUS: NOT_FOUND
450	Boulevard Helvétique 24-28
451	Rue des Battoirs 9
452	Tunnel de Meyrin Village
453	:ERROR STATUS: NOT_FOUND
454	Chemin du Bois-des-Arts 83-69
455	Rue du Gothard 2-16
456	Route de Vernier
457	Avenue de l'Ain
458	Tranchée Couverte d'Arare
459	Rue Louis-Favre 12-14
460	Chemin des Olliquettes
461	Rue Pradier 9-3
462	Route des Jeunes
463	Chemin Colladon
464	Avenue du Pailly
465	Route de Thonon 112
466	Cours de Rive 19-17
467	Avenue de Thônex
468	Route de Meyrin 399
469	Chemin du Foron 12-16
470	Rue de l'Avenir
471	Rue Rousseau 4-10
472	Rue De-Miléant
473	Chemin Adrien-Stoessel 7-1
474	Chemin des Marais 73-71
475	Tunnel de Vernier
476	Avenue de la Paix
477	Quai Gustave-Ador
478	Cours de Rive 18-20
479	Chemin du Renard 82-84
480	Chemin de Compostelle 1-19
481	Rue d'Italie 14-16
482	Quai du Mont-Blanc 31-29
483	Chemin Surinam
484	Route de Malagnou 66
485	Rue du Moléson 1-3
486	Pont de Saint-Georges
487	Route Douanière
488	Rue Lombard
489	Rue de l'Ancien-Port 2-8
490	Pont de Sous-Terre
491	Boulevard Georges-Favon 16
492	Rue Virginio-Malnati 2-16
493	Route de Florissant 59-53
494	Rue Jean-François Bartholoni 10
495	Route de Compois 106
496	Chemin du Relai 5-1
497	Rue de Jargonnant 5
498	Rue des Bossons 2-4
499	Pont de la Rue-de-la-Servette
500	Avenue du Pailly
501	Route d'Hermance 181
502	Route de Ferney 169-167
503	Rue de la Terrassière 50-58
504	Avenue des Cavaliers 7-1
505	Route de Malagnou 101
506	Quai Wilson
507	A1a
508	Centre-Plainpalais-Acacias
509	:ERROR STATUS: NOT_FOUND
510	Avenue Krieg 44
511	Vernier
512	Avenue Théodore-Weber 31-29
513	Route du Grand-Lancy
514	Place des Cinq-Continents
515	E62
516	Voie Centrale
517	Route du Val-d'Arve 92
518	Avenue des Communes-Réunies
519	Avenue du Pailly
520	Route de Lausanne 341-337
521	Rue de Genève 113-103
522	Route de Mon-Idée
523	Rue de Lyon 60
524	Quai du Mont-Blanc 25-21
525	Quai du Mont-Blanc 19
526	Route de l'Etraz
527	E62
528	Rue de la Maladière 2-4
529	Chemin du Port-de-Bellerive 22-24
530	Route de Saint-Julien 82-84
531	Avenue de la Roseraie
532	Avenue de France
533	Rue Butini 13-11
534	A1a
535	Rue des Deux-Ponts 18-24
536	Avenue de France
537	Avenue du Mail
538	Rue du Lièvre 2-4
539	Avenue Louis-Aubert 2
540	Unnamed Road
541	Quai du Général-Guisan 28
542	Chemin de Vers 2-4
543	Rue de Monthoux 50-52
544	Rue de Chantepoulet 25-15
545	Avenue Pictet-de-Rochemont 2-6
546	Route de Meyrin 2-8
547	Quai de Cologny 61
548	Route de Saint-Julien
549	Route du Pont Butin
550	Avenue de Châtelaine 95-91
551	Route de Meyrin
552	Route de Chancy 142
553	Route d'Aire-la-Ville 105-101
554	Avenue Wendt 4-12
555	Rue Voltaire 6
556	Route des Morillons
557	Rue Jacques-Grosselin
558	Route de Cornière 54-70
559	Rue de Bourgogne
560	Boulevard du Pont-d'Arve 39-31
561	Passage du Rond-Point 4
562	Saint-Jean - Charmilles
563	Rue Caroline 41-29
564	Rond-Point de Plainpalais
565	Avenue De-Luserna
566	Pont du Mont-Blanc
567	Rue de Montbrillant 87-85
568	Grottes - Saint-Gervais
569	Rue Pradier 9-3
570	Rue de la Terrassière 50-58
571	Unnamed Road
572	Avenue du Lignon
573	Avenue de Bel-Air 44-48
574	Rue de la Croix-Rouge
575	Route des Jeunes
576	Avenue Henri-Golay 27-21
577	Rue de l'Athénée 10
578	Rue de Monthoux 29-21
579	:ERROR STATUS: NOT_FOUND
580	Route d'Hermance 537-521
581	1
