	index	ID_ACCIDENT	DATE_	GROUPE_ACCIDENT	COMMUNE	CONDITIONS_LUMINEUSES	CONDITIONS_METEO	CONSEQUENCES	COOR_X	COOR_Y	ETAT_ROUTE	GENRE_ROUTE	HEURE	JOUR	LOCALITE	NB_ENFANTS_IMPLIQUES	NB_ENFANTS_ECOLE	NB_BLESSES_LEGERS	NB_BLESSES_GRAVES	NB_TUES	NB_PIETONS	NB_BICYCLETTES	NB_VAE_25	NB_VAE_45	NB_CYCLOMOTEURS	NB_MOTOS_50	NB_MOTOS_125	NB_MOTOS_11KW	NB_VOITURES_TOURISME	NB_VOITURES_LIVRAISON	NB_CAMIONS	NB_BUS	NB_TRAM	E	N	YEAR	MONTH	DAY	CAUSE_g	CAUSE_sg	location.latitude	location.longitude	placeId	road_name
2073	12334	1602901.0	2015-05-23	Accident en parquant	Carouge GE	Jour	Beau	Autres	6.134174198632937	46.1825410218196	Sèche	Route secondaire	1899-12-30 14:00:00	Samedi	A l'intérieur d'une localité	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2499279.0	1115403.0	2015	5	23	Autres mouvements dans la circulation	Marche arrière imprudente	46.18259214203261	6.134102889228302	ChIJabQC3SB7jEcRpVCyQ4i-d_w	:ERROR STATUS: NOT_FOUND
2074	12335	1658428.0	2015-10-08	Accident lors d'un dépassement ou lors d'un changement de voie de circulation	Genève	Jour	Beau	Avec blessés légers	6.141196853624122	46.208514909065855	Sèche	Route principale	1899-12-30 15:00:00	Jeudi	Non renseigné	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	2499869.0	1118281.0	2015	10	8	Circulation à droite / à gauche et présélectionnement	Manque d'égards en changeant de voie	46.20854489832258	6.141203811854191	ChIJX1mMDNhkjEcRKLMiiUu0Uto	Grottes - Saint-Gervais
2075	12336	1640164.0	2015-08-22	Accident en parquant	Genève	Inconnu	Autre	Autres	6.163034064626858	46.19683415381999	Autre	Route principale	1899-12-30 23:00:00	Samedi	A l'intérieur d'une localité	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2501533.0	1116955.0	2015	8	22	Cause inconnue	Véhicule stationné (omission de la déclaration obligatoire)	46.19688031372434	6.163058410580679	ChIJu3PatUpljEcRdlJ877TNvHY	Route de Malagnou 48-52
2076	12337	1647147.0	2015-09-09	Accident par tamponnement	Carouge GE	Jour	Beau	Autres	6.146146123517527	46.1851080016096	Sèche	Route principale	1899-12-30 08:00:00	Mercredi	A l'intérieur d'une localité	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	2500208.0	1115673.0	2015	9	9	Dépassement (circulation)	Moto circulant entre les colonnes	46.185076386515895	6.146120480919688	ChIJPxQtG9t6jEcR7998-eEmy6w	Route de Veyrier
2077	12338	1650339.0	2015-09-18	Dérapage ou perte de maîtrise	Genève	Jour	Couvert	Avec blessés graves	6.136362677647233	46.22315107146351	Humide	Route secondaire	1899-12-30 11:00:00	Vendredi	A l'intérieur d'une localité	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2499523.0	1119914.0	2015	9	18	Inattention et distraction	Manque d'attention momentané	46.22311464439368	6.136327330586994	ChIJj7IXyOVkjEcR7L9nnvMaq4Q	Route de Ferney 4-10
2078	12339	1658818.0	2015-10-09	Accident en traversant une route	Genève	Jour	Beau	Avec blessés légers	6.1547277699205365	46.20129230518653	Sèche	Route secondaire	1899-12-30 12:00:00	Vendredi	A l'intérieur d'une localité	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	2500900.0	1117461.0	2015	10	9	Inattention et distraction	Manque d'attention momentané	46.20129312899761	6.154728080211787	ChIJrQhH0DNljEcRl90CPe3MMeo	Cours de Rive 18-20
2079	12402	1650509.0	2015-09-18	Accident par tamponnement	Genève	Jour	Beau	Avec blessés légers	6.135228994617929	46.20123065718932	Sèche	Route secondaire	1899-12-30 17:00:00	Vendredi	A l'intérieur d'une localité	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	2499395.0	1117479.0	2015	9	18	Inattention et distraction	Manque d'attention momentané	46.2012291521373	6.1352312906436435	ChIJpUHUedRkjEcRuOtx7xG5-5U	Avenue de Sainte-Clotilde 2-6
2080	12403	1659466.0	2015-10-10	Dérapage ou perte de maîtrise	Genève	Jour	Autre	Autres	6.130151412093129	46.20655199969643	Sèche	Route secondaire	1899-12-30 19:00:00	Samedi	A l'intérieur d'une localité	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2499013.0	1118077.0	2015	10	10	Inattention et distraction	Manque d'attention momentané	46.20656204897528	6.130158784163912	ChIJl0cf389kjEcR4vqiLsQoYmo	Rue des Charmilles 11-7
2081	12404	1641291.0	2015-08-27	Dérapage ou perte de maîtrise	Genève	Jour	Beau	Avec blessés légers	6.1618341692853855	46.20158887921004	Sèche	Route principale	1899-12-30 16:00:00	Jeudi	A l'intérieur d'une localité	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2501449.0	1117485.0	2015	8	27	Inattention et distraction	Manque d'attention momentané	46.20160264834037	6.161824647038003	ChIJCbfYCDZljEcRcMz-2RnK_S0	Route de Frontenex 37-35
2082	12405	1632463.0	2015-07-29	Dérapage ou perte de maîtrise	Genève	Jour	Beau	Autres	6.13923899614433	46.19228907689045	Sèche	Route secondaire	1899-12-30 15:00:00	Mercredi	A l'intérieur d'une localité	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2499688.0	1116480.0	2015	7	29	Inattention et distraction	Manque d'attention momentané	46.19228433111393	6.139217064822858	ChIJ2ToiFtZ6jEcRYPXdFnEOs3s	Quai du Cheval-Blanc 15-23
