	index	ID_ACCIDENT	DATE_	GROUPE_ACCIDENT	COMMUNE	CONDITIONS_LUMINEUSES	CONDITIONS_METEO	CONSEQUENCES	COOR_X	COOR_Y	ETAT_ROUTE	GENRE_ROUTE	HEURE	JOUR	LOCALITE	NB_ENFANTS_IMPLIQUES	NB_ENFANTS_ECOLE	NB_BLESSES_LEGERS	NB_BLESSES_GRAVES	NB_TUES	NB_PIETONS	NB_BICYCLETTES	NB_VAE_25	NB_VAE_45	NB_CYCLOMOTEURS	NB_MOTOS_50	NB_MOTOS_125	NB_MOTOS_11KW	NB_VOITURES_TOURISME	NB_VOITURES_LIVRAISON	NB_CAMIONS	NB_BUS	NB_TRAM	E	N	YEAR	MONTH	DAY	CAUSE_g	CAUSE_sg
953	6672	1653991.0	2015-09-27	Accident impliquant des piétons	Genève	Jour	Couvert	Avec blessés graves	6.141005316144655	46.20839574756525	Sèche	Route principale	1899-12-30 16:00:00	Dimanche	A l'intérieur d'une localité	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2499854.0	1118268.0	2015	9	27	Influence / comportement du piéton	Non-respect de la signalisation lumineuse
954	6673	1658700.0	2015-10-09	Accident en s'engageant sur une route	Confignon	Jour	Couvert	Autres	6.086818411892219	46.178411554321	Sèche	Route principale	1899-12-30 08:00:00	Vendredi	A l'extérieur d'une localité	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2495615.0	1115006.0	2015	10	9	Inattention et distraction	Manque d'attention momentané
955	6674	1628806.0	2015-07-28	Accident en parquant	Vernier	Jour	Beau	Autres	6.106263976908369	46.20941236573968	Sèche	Autre	1899-12-30 18:00:00	Mardi	A l'intérieur d'une localité	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2497175.0	1118426.0	2015	7	28	Inattention et distraction	Manque d'attention momentané
956	6675	1623179.0	2015-07-14	Accident par tamponnement	Genève	Jour	Autre	Autres	6.1490021487512205	46.19467731689647	Autre	Route principale	1899-12-30 14:00:00	Mardi	A l'intérieur d'une localité	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2500446.0	1116733.0	2015	7	14	Autres mouvements dans la circulation	Suivre de trop près le véhicule qui précède
957	6676	1660945.0	2015-10-14	Accident lors d'un dépassement ou lors d'un changement de voie de circulation	Petit-Lancy	Jour	Couvert	Autres	6.129220392038644	46.179019828375885	Sèche	Route principale	1899-12-30 15:00:00	Mercredi	Non renseigné	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	2498890.0	1115018.0	2015	10	14	Circulation à droite / à gauche et présélectionnement	Manque d'égards en changeant de voie
958	6677	1653727.0	2015-09-26	Accident en s'engageant sur une route	Jussy	Nuit	Beau	Autres	6.250074264760347	46.23225095014014	Sèche	Route principale	1899-12-30 22:00:00	Samedi	A l'extérieur d'une localité	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2508311.0	1120786.0	2015	9	26	Refus d'accorder la priorité	Priorité avec une signalisation fixe 'Stop'
959	6678	1620500.0	2015-07-09	Accident lors d'un dépassement ou lors d'un changement de voie de circulation	Genève	Jour	Beau	Autres	6.160306096898472	46.203757796534234	Sèche	Route principale	1899-12-30 12:00:00	Jeudi	Non renseigné	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2501335.0	1117728.0	2015	7	9	Dépassement (circulation)	En dépassant de trop près (latéral)
960	6679	1647411.0	2015-09-11	Accident impliquant des piétons	Meyrin	Jour	Beau	Avec blessés légers	6.093577745511638	46.22300916553032	Sèche	Route principale	1899-12-30 09:00:00	Vendredi	A l'extérieur d'une localité	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	2496222.0	1119954.0	2015	9	11	Influence / comportement du piéton	Traversée imprudente de la route (en marchant)
961	6680	1645322.0	2015-08-29	Accident en parquant	Le Grand-Saconnex	Inconnu	Beau	Autres	6.121564682786074	46.24114406182115	Sèche	Autre	1899-12-30 06:00:00	Samedi	A l'intérieur d'une localité	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2498415.0	1121933.0	2015	8	29	Cause inconnue	Véhicule stationné (omission de la déclaration obligatoire)
962	6681	1650200.0	2015-09-18	Dérapage ou perte de maîtrise	Versoix	Nuit	Beau	Autres	6.165735930664723	46.2895497248716	Sèche	Route principale	1899-12-30 01:00:00	Vendredi	A l'intérieur d'une localité	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2501909.0	1127257.0	2015	9	18	Etat / intention du conducteur	Influence de l'alcool
963	6682	1640442.0	2015-08-25	Accident en quittant une route	Versoix	Aurore / crépuscule	Beau	Autres	6.169085995508595	46.27726178578532	Sèche	Route secondaire	1899-12-30 21:00:00	Mardi	Non renseigné	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	2502145.0	1125887.0	2015	8	25	Refus d'accorder la priorité	Priorité en obliquant à gauche devant des véhicules venant en sens inverse
964	6683	1635609.0	2015-08-13	Accident par tamponnement	Vernier	Jour	Couvert	Avec blessés légers	6.11293250336247	46.2112273113843	Sèche	Route secondaire	1899-12-30 20:00:00	Jeudi	A l'intérieur d'une localité	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	2497693.0	1118619.0	2015	8	13	Inattention et distraction	Manque d'attention momentané
965	6684	1681191.0	2015-12-01	Accident par tamponnement	Conches	Nuit	Beau	Autres	6.175488502025179	46.19945740764087	Sèche	Route principale	1899-12-30 05:00:00	Mardi	A l'intérieur d'une localité	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2502499.0	1117231.0	2015	12	1	Inattention et distraction	Manque d'attention momentané
966	6738	1565425.0	2015-02-28	Dérapage ou perte de maîtrise	Genève	Nuit	Couvert	Autres	6.140558320025147	46.194004668300416	Humide	Route principale	1899-12-30 04:00:00	Samedi	A l'intérieur d'une localité	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2499793.0	1116669.0	2015	2	28	Etat / intention du conducteur	Influence de l'alcool
967	6739	1549409.0	2015-01-16	Accident lors d'un dépassement ou lors d'un changement de voie de circulation	Le Grand-Saconnex	Nuit	Pluie	Autres	6.11901272843537	46.227690903852086	Mouillée	Route secondaire	1899-12-30 16:00:00	Vendredi	A l'intérieur d'une localité	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	2498193.0	1120441.0	2015	1	16	Cause inconnue	Cause inconnue
968	6740	1548285.0	2015-01-14	Accident par tamponnement	Genève	Aurore / crépuscule	Beau	Autres	6.1641918456095945	46.19995113172957	Sèche	Route principale	1899-12-30 08:00:00	Mercredi	A l'intérieur d'une localité	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2501628.0	1117300.0	2015	1	14	Inattention et distraction	Manque d'attention momentané
969	6741	1571261.0	2015-03-13	Accident en parquant	Petit-Lancy	Jour	Couvert	Autres	6.116871163749076	46.18834047097	Sèche	Route secondaire	1899-12-30 16:00:00	Vendredi	A l'intérieur d'une localité	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2497954.0	1116070.0	2015	3	13	Cause inconnue	Véhicule stationné (omission de la déclaration obligatoire)
970	6742	1566977.0	2015-03-04	Accident en traversant une route	Vésenaz	Jour	Beau	Autres	6.21678494262769	46.247711721680105	Mouillée	Route secondaire	1899-12-30 08:00:00	Mercredi	A l'intérieur d'une localité	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2505770.0	1122544.0	2015	3	4	Refus d'accorder la priorité	Priorité avec une signalisation fixe 'Stop'
971	6743	1571413.0	2015-03-14	Dérapage ou perte de maîtrise	Vésenaz	Nuit	Couvert	Avec blessés légers	6.206101405267308	46.24533742554527	Humide	Route principale	1899-12-30 04:00:00	Samedi	A l'intérieur d'une localité	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2504942.0	1122293.0	2015	3	14	Etat / intention du conducteur	Influence de l'alcool
