	NOM_VOIE	TJOM	TJM	DISPONIBILITE	DATEDT	NOM_POINT_DE_MESURE	E	N
551	Route du Camp	4127.0	3766.0	2 mois par an	2016-10-12 10:04:56	Camp / Saint-Julien	2498486.83	1114112.17
553	Pont de La-Plaine	1899.0	1716.0	3 semaines/an	2016-10-12 10:38:16.000001	La-Plaine (Pont)	2488964.8	1114890.88
555	Route de Challex	1003.0	875.0	1 fois tous les 5 ans	2016-10-12 10:06:05.000001	Douane de La Plaine (route de Challex)	2488381.35	1115050.42
557	Route de Valleiry	1761.0	1541.0	1 fois tous les 5 ans	2016-10-12 10:06:04	Douane de Chancy II (route Valleiry)	2486661.07	1110906.85
564	Route de Base	6415.0	5399.0	3 semaines/an	2016-10-12 10:06:00	Base (Route)	2496021.46	1113285.72
570	Chemin de la Seymaz	4064.0	3596.0	3 semaines/an	2016-10-12 10:05:57.000001	Seymaz (Chemin)	2504684.02	1118403.79
572	Route de Vandoeuvres	5906.0	5207.0	3 semaines/an	2016-10-12 10:05:56	Vandoeuvres n°95	2504369.78	1119373.34
574	Route de La-Capite	4911.0	4468.0	3 semaines/an	2016-10-12 10:05:55	La-Capite n°110	2504177.99	1120434.04
580	Chemin de Pinchat	3581.0	3212.0	3 semaines/an	2016-10-12 10:05:53	Pinchat n°18	2500106.27	1114880.2
582	Pont de Sierne	12660.0	11446.0	3 semaines/an	2016-10-12 10:05:52	Sierne (Pont)	2503020.58	1114990.21
584	Route des Fayards	4898.0	4536.0	3 semaines/an	2016-10-12 10:05:50	Douane de Vireloup (Route de Fayards)	2498337.48	1124141.79
586	Avenue A.-F.- DUBOIS	7704.0	7207.0	3 semaines/an	2016-10-12 10:05:48	Douane de Mategnin (Avenue A.-F.-Dubois)	2495822.38	1121937.93
593	Rue de Saint-Jean	15183.0	14552.0	non	2016-10-12 10:38:03	Saint-Jean / Délices	2499158.74	1117937.75
595	Rue des Charmilles	6251.0	5879.0	365 jrs/an	2016-10-12 10:37:54	Charmilles / Délices	2499151.76	1118005.59
