	road_name
314	Quai du Mont-Blanc 14
315	Rue François-Versonnex 7
316	Avenue De-Luserna 15-13
317	E62
318	Route de Ferney
319	Unnamed Road
320	Rue des Charmilles 11-7
321	Chemin des Chèvres
322	Quai Wilson
323	Quai Wilson
324	Boulevard Carl-Vogt 101
325	Avenue Henri-Dunant
326	Avenue de Bel-Air
327	Route du Bois-de-Bay
328	Quai du Mont-Blanc
329	Chemin du Pré-du-Camp 12-2
330	Rue Docteur-Alfred-Vincent 14-20
331	Chemin de la Tulette
332	Avenue Théodore-Weber 7-3
333	Tunnel de Vernier
334	Avenue de l'Amandolier 27-19
335	Quai Gustave-Ador
336	Place du Petit-Saconnex
337	Chemin de Beau-Soleil
338	Rue de la Cloche
339	Chemin de Chambésy
340	Square Pradier
341	Chemin des Tanquons 40-44
342	Route de Monniaz
343	Route de Sous-Moulin 59-49
344	Route de Vandœuvres 8
345	Route de Saint-Julien 183-181
346	Route de la Capite 190
347	Unnamed Road
348	Boulevard Carl-Vogt 43-31
349	Route de Thonon 125-123
350	Route d'Aire-la-Ville
351	Route de Saint-Julien 259-255
352	Route de Saint-Georges
353	A1a
354	Tunnel de Vernier
355	Boulevard du Pont-d'Arve 39-31
356	Rue Joseph-Girard 18-22
357	E62
358	Grottes - Saint-Gervais
359	Route de Gratillet
360	Unnamed Road
361	Route de Cornière 49-15
362	Route de Malagnou
363	Rue François-Versonnex 5-3
364	Rue de Saint-Jean 43-29
365	Boulevard Georges-Favon 29
366	Chemin des Fours
367	Rue de Frémis
368	Route des Acacias 49
369	Route des Batailleux 40
370	Rue des Alpes 22-24
371	Rue Terreaux-du-Temple 4-6
372	Rue Lombard 16
373	Rue du Mont-Blanc
374	Rue du Mont-Blanc
375	Rue Du-Roveray 2-14
376	Route de Saint-Julien
377	Rue de Montchoisy 7-3
378	Avenue de la Martinière 13-3
379	Pregny-Chambésy
380	Avenue Louis-Casaï
381	Rue des Deux-Ponts 2-4
382	Rue de l'Hôtel-de-Ville 9
383	Place Bordier
384	Rue Lombard
385	Rue de Lyon 67-61
386	Chemin de Poussy 1-3
387	Boulevard Georges-Favon 15
388	Chemin de la Salésienne
389	Route de Saint-Julien
390	Boulevard Carl-Vogt 17-15
391	Route de Thonon 153
392	E62
393	Rue de l'Ecole-de-Médecine
394	Quai Ernest-Ansermet 36-42
395	Rue du Vidollet 27
396	Route de Malagnou 151-145
397	Quai Gustave-Ador
398	Rue Pierre-Fatio 1
399	Rue de la Madeleine 13-11
400	Rue de Villereuse 2
