	index	ID_ACCIDENT	DATE_	GROUPE_ACCIDENT	COMMUNE	CONDITIONS_LUMINEUSES	CONDITIONS_METEO	CONSEQUENCES	COOR_X	COOR_Y	ETAT_ROUTE	GENRE_ROUTE	HEURE	JOUR	LOCALITE	NB_ENFANTS_IMPLIQUES	NB_ENFANTS_ECOLE	NB_BLESSES_LEGERS	NB_BLESSES_GRAVES	NB_TUES	NB_PIETONS	NB_BICYCLETTES	NB_VAE_25	NB_VAE_45	NB_CYCLOMOTEURS	NB_MOTOS_50	NB_MOTOS_125	NB_MOTOS_11KW	NB_VOITURES_TOURISME	NB_VOITURES_LIVRAISON	NB_CAMIONS	NB_BUS	NB_TRAM	E	N	YEAR	MONTH	DAY	CAUSE_g	CAUSE_sg	road_name
2420	13805	1659968.0	2015-10-11	Accident en parquant	Meyrin	Jour	Beau	Autres	6.075834215035307	46.23224313483942	Sèche	Autre	1899-12-30 15:00:00	Dimanche	A l'intérieur d'une localité	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2494871.0	1121004.0	2015	10	11	Cause inconnue	Véhicule stationné (omission de la déclaration obligatoire)	Rue de la Prulay
2421	13806	1630066.0	2015-07-31	Accident lors d'un dépassement ou lors d'un changement de voie de circulation	Genève	Jour	Beau	Autres	6.154928218383727	46.199936068466386	Sèche	Route principale	1899-12-30 15:00:00	Vendredi	Non renseigné	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	2500913.0	1117310.0	2015	7	31	Circulation à droite / à gauche et présélectionnement	Manque d'égards en changeant de voie	Rue des Glacis-de-Rive 12-14
2422	13808	1659602.0	2015-10-11	Dérapage ou perte de maîtrise	Bellevue	Jour	Beau	Avec blessés graves	6.132682843909158	46.26032858252986	Sèche	Autoroute	1899-12-30 08:00:00	Dimanche	Non renseigné	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2499308.0	1124051.0	2015	10	11	Etat / intention du conducteur	Excès de fatigue, endormissement (y compris endormissement passager)	E62
2423	14080	1575667.0	2015-03-22	Accident en parquant	Carouge GE	Inconnu	Beau	Autres	6.1378721092087725	46.1887735539781	Sèche	Route secondaire	1899-12-30 19:00:00	Dimanche	A l'intérieur d'une localité	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2499576.0	1116091.0	2015	3	22	Cause inconnue	Véhicule stationné (omission de la déclaration obligatoire)	Rue des Mouettes 7
2424	14083	1546739.0	2015-01-09	Dérapage ou perte de maîtrise	Genève	Nuit	Pluie	Autres	6.158892565045768	46.20050292368687	Humide	Route secondaire	1899-12-30 22:00:00	Vendredi	A l'intérieur d'une localité	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	2501220.0	1117368.0	2015	1	9	Inattention et distraction	Manque d'attention momentané	Rue de la Terrassière 32-40
2425	14084	1562936.0	2015-02-21	Accident par tamponnement	Genève	Nuit	Couvert	Autres	6.158634812203021	46.198241803011996	Sèche	Route principale	1899-12-30 18:00:00	Samedi	A l'intérieur d'une localité	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	2501196.0	1117117.0	2015	2	21	Autres mouvements dans la circulation	Suivre de trop près le véhicule qui précède	Route de Malagnou 16-10
2426	14085	1559850.0	2015-02-14	Accident en quittant une route	Genève	Nuit	Pluie	Autres	6.126947311427816	46.20830517162796	Mouillée	Route secondaire	1899-12-30 06:00:00	Samedi	A l'intérieur d'une localité	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2498769.0	1118276.0	2015	2	14	Inobservation de signaux ou de la signalisation 	Inobservation d'un signal	Rue de Lyon 75
2427	14086	1561573.0	2015-02-18	Accident par tamponnement	Genève	Jour	Couvert	Autres	6.155399459858077	46.20247852897356	Humide	Route principale	1899-12-30 16:00:00	Mercredi	A l'intérieur d'une localité	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	2500954.0	1117592.0	2015	2	18	Inattention et distraction	Manque d'attention momentané	Rue du Rhône
2428	14087	1558470.0	2015-02-10	Accident par tamponnement	Genève	Jour	Beau	Autres	6.123513257174604	46.20884099776983	Sèche	Route secondaire	1899-12-30 13:00:00	Mardi	A l'intérieur d'une localité	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	0.0	0.0	0.0	2498505.0	1118340.0	2015	2	10	Etat / intention du conducteur	Influence de l'alcool	Rue de Lyon 106-108
2429	14100	1603620.0	2015-05-31	Dérapage ou perte de maîtrise	Petit-Lancy	Nuit	Beau	Autres	6.125997587990537	46.172486635783216	Sèche	Route principale	1899-12-30 02:00:00	Dimanche	A l'intérieur d'une localité	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2498629.0	1114296.0	2015	5	31	Etat / intention du conducteur	Influence de l'alcool	Route de Saint-Julien 82-84
2430	14101	1629894.0	2015-07-31	Accident en quittant une route	Genève	Jour	Beau	Avec blessés légers	6.167481272036454	46.19890863057018	Sèche	Route secondaire	1899-12-30 08:00:00	Vendredi	Non renseigné	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2501880.0	1117180.0	2015	7	31	Refus d'accorder la priorité	Priorité en obliquant à gauche devant des véhicules venant en sens inverse	Avenue de l'Amandolier 19-11
2431	14105	1683192.0	2015-12-07	Accident en quittant une route	Genève	Jour	Couvert	Autres	6.165059206441656	46.20828295650461	Sèche	Route principale	1899-12-30 14:00:00	Lundi	A l'intérieur d'une localité	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	2501710.0	1118225.0	2015	12	7	Refus d'accorder la priorité	Priorité en obliquant à gauche devant des véhicules venant en sens inverse	Quai Gustave-Ador
2432	14232	1575496.0	2015-03-23	Collision frontale	Genève	Jour	Beau	Avec blessés légers	6.155011662540888	46.19914529905152	Sèche	Route secondaire	1899-12-30 18:00:00	Lundi	A l'intérieur d'une localité	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	2500918.0	1117222.0	2015	3	23	Etat / intention du conducteur	Influence de l'alcool	Rue Ferdinand-Hodler
