	road_name
356	Avenue de Thônex 7-5
357	Place De-Grenus
358	Rue de Carouge 73-69
359	Avenue des Communes-Réunies 8
360	Route de Meyrin 388-392
361	Chemin de la Caroline 17-15
362	Rue du Rhône 112
363	Avenue Vibert
364	Avenue Bois-de-la-Chapelle
365	Rue Hoffmann 5-3
366	Quai du Général-Guisan 14
367	Route J.-J.-Rigaud 12
368	Rue du Stand 25-17
369	:ERROR STATUS: NOT_FOUND
370	Route de Saint-Julien
371	Route de Saint-Julien 70
372	Route du Nant-d'Avril 40-56
373	Rue de Genève
374	Rue Dancet 2-10
375	Route du Grand-Lancy 99
376	Route de Ferney
377	Tranchée Couverte d'Arare
378	E62
379	Rue du Cendrier 19-15
380	Chemin Daniel-Ihly 8-12
381	Avenue de la Roseraie
382	Rue du Colombier 10-12
383	Avenue du Curé Baud
384	E62
385	Route de Malagnou
386	E62
387	Chemin de la Savonnière
388	Rue de la Prairie
389	Rue des Mouettes 7
390	Rue du Mont-Blanc
391	Rue de Richemont 21-13
392	Route du Bois-de-Bay
393	Quai du Général-Guisan 36-38
394	Rue François-Dussaud 19-15
395	E62
396	Chemin de Pinchat 5-3
397	Rue du Jeu-de-l'Arc 15-9
398	Rue Jacques-Grosselin 25-21
399	Rue de Monthoux 29-21
400	Chemin de Grange-Falquet 15-5
401	Rue du Belvédère 9-1
402	Chemin des Sports
403	A1a
404	Route de Saint-Julien
405	Rue de Montbrillant
406	Boulevard D'Yvoy 7-1
407	Quai du Seujet 36
408	Route de Valleiry 20-30
409	Rue du Mont-Blanc
410	Rue du Môle 21-13
411	Rue des Glacis-de-Rive 12-14
412	Chemin de la Mousse 46-56
413	Rue Adrien-Lachenal 17-13
414	Chemin de Roches
415	Rue de Carouge 97-89
416	Route du Pont Butin
417	Chemin de Saussac 5-1
418	E62
419	Boulevard de la Cluse 30-38
420	Rue Terreaux-du-Temple 4-6
421	Quai du Général-Guisan 34
422	Chemin des Crêts-de-Champel 40-42
423	Boulevard Carl-Vogt 59-55
424	Route de Chancy 103
425	Route de Vandœuvres 79
426	Rue Lamartine
427	Rue de Hesse 7
428	Route de Rougemont 1
429	Grottes - Saint-Gervais
430	Rue des Moulins 31-27
431	Rue Philippe-Plantamour 18-26
432	Rue Simon-Durand 12
433	Avenue Edmond-Vaucher 6-8
434	Chemin de la Roselière 10
435	Route des Jeunes
436	Unnamed Road
437	Rue de Monthoux 29-21
438	Rue Michel-Simon
439	Avenue De-Budé
440	Route de Chancy 189-181
441	Pâquis-Nations
442	Tunnel de Vernier
443	Route de Jussy
444	Chemin des Anémones 2-8
445	Rue de la Mairie 5
446	Unnamed Road
447	Route de Frontenex 58
448	Avenue Jacob-Daniel-Maillard
449	Route d'Aire-la-Ville 130
450	Route de Meyrin 47
451	Route de Valleiry 80
452	Route de Thonon
453	Route de Meyrin 388-392
454	Avenue Tronchet 4-8
455	Chemin des Hauts-Crêts 125
456	Rue Jacques-Dalphin 10-14
457	Route de Saint-Julien 148-150
458	Rue Gabrielle-Perret-Gentil
459	Route de Lausanne 319
460	Route Douanière
461	:ERROR STATUS: NOT_FOUND
462	Chemin des Coudriers
463	Boulevard des Promenades 4-10
464	Place de Jargonnant 5-3
465	Avenue de la Praille
466	Boulevard des Tranchées
467	Pâquis-Nations
468	Route du Vélodrome
469	Boulevard Emile-Jaques-Dalcroze 13-11
470	Route de Collex
471	Rue d'Italie 14-16
472	E62
473	Quai Gustave-Ador 56
474	Route des Jeunes
475	Rue de Frémis
476	Rue des Deux-Ponts 32
477	Unnamed Road
478	Chemin de Champ-Claude 5-1
479	Boulevard des Promenades 25
480	Route de Pré-Bois 7
481	:ERROR STATUS: NOT_FOUND
482	Rue de Genève 101-91
483	E62
484	Route de Vernier
485	Quai Gustave-Ador 28-30
486	Boulevard Helvétique 18
487	Route des Fayards
488	Rue Cavour 16-20
489	Rue du Valais
490	Route de Jussy 15
491	Unnamed Road
492	Unnamed Road
493	Rue Sismondi 9-1
494	Avenue de Champel
495	Rue de Chantepoulet
496	Rue Chaponnière 4-14
497	Rue Dejean
498	Cours de Rive 18-20
499	Boulevard Georges-Favon 29
500	Unnamed Road
501	Route de Chancy 62-70
502	Tranchée Couverte de Chèvres
503	Rue De-Grenus
504	Route de Vessy 6-10
505	Route de Choulex 2-30
506	Route de Chancy
507	Rue Dancet 12-20
508	Route de Peney
509	Route de Saint-Julien 85
510	Rue Jacques-Dalphin 10-14
511	Route de Suisse 70-74
512	Grottes - Saint-Gervais
513	Route de Veyrier 40-52
514	E62
515	Rue du Grand Bay
516	Rue du Grand Bay
517	Avenue De-Warens 6-8
518	Place de l'Octroi
519	Route de Peissy
520	Chemin d'Evordes
521	Chemin des Batailles 19-17
522	Avenue Eugène Lance
523	Chemin de Foulon
524	Route du Bois-de-Bay
525	Chemin des Vergers 4
526	Route de Peney 129-107
527	Rue de Contamines 25-21
528	Rue de Chantepoulet 25-15
529	Rue du Tir 4
530	Avenue William-Favre 19
531	Route du Pont Butin
532	:ERROR STATUS: NOT_FOUND
533	Route de Vandœuvres
534	Rue Sismondi 16
535	Route des Acacias 44-40
536	Rue Hans Wilsdorf
537	Chemin du Tirage 7-9
538	Avenue Adrien-Lachenal 55-25
539	Rue Micheli-du-Crest 2
540	Chemin du Petit-Saconnex
541	Route de Florissant 59-53
542	Rue de Moillebeau
543	Boulevard Emile-Jaques-Dalcroze
544	Rue François-Versonnex
