NO_SIREDO;NO_POINT_MESURE;CODE_VOIE;NOM_VOIE;DIRECTION;TJOM;TJOM_ANNEE;TJM;TJM_ANNEE;DISPONIBILITE;ANGLE;PRESELECTION;ID_GM_TRONCON;CAPTEUR;DATEDT;NOM_POINT_DE_MESURE;E;N;HPM;HPS
325.1;90852;15482;Route de Meyrin;;;;;;non;290.0;Toutes_Directions;117588.0;PCRT;2010-04-12 11:08:17;Meyrin / Coquelicots;2496228.10;1119954.26;;
0.0;13603;16004;Rue du Mont-Blanc;;;;;;non;110.0;Toutes_DIrections;118071.0;PCRT;2011-07-21 15:06:45;Chantepoulet /Cendrier;2500214.52;1118213.12;;
0.0;13601;16004;Rue du Mont-Blanc;;;;;;non;285.0;Toutes_DIrections;110320.0;PCRT;2011-07-21 15:08:31;Chantepoulet /Cendrier;2500144.96;1118233.39;;
1092.2;zzhk00780ml;;;Entrée Ville;;;;;365 jrs/an;225.0;Toutes_DIrections;;CAR;2016-03-11 10:12:51;Thonon /est tranchée;2504536.01;1121895.36;;
1092.1;zzhk00780kl;;;Sortie Ville;;;;;365 jrs/an;45.0;Toutes_DIrections;;CAR;2016-03-11 10:12:48;Thonon /est tranchée;2504548.31;1121885.28;;
1091.1;zzgk00050kl;;;Entrée Ville;;;;;365 jrs/an;225.0;Toutes_DIrections;;CAR;2016-03-11 10:00:53;Thonon /ouest tranchée;2504157.31;1121534.54;;
1091.2;zzgk00050ml;;;Sortie Ville;;;;;365 jrs/an;45.0;Toutes_DIrections;;CAR;2016-03-11 10:00:50;Thonon /ouest tranchée;2504172.49;1121527.25;;
1090.2;zzgtzm00197;;;Sortie Ville;;;;;365 jrs/an;45.0;Toutes_DIrections;;CAR;2016-03-11 09:59:55;Vésenaz (Tranchée);2504204.25;1121574.05;;
1090.1;zzgtzk00197;;;Entrée Ville;;;;;365 jrs/an;225.0;Toutes_DIrections;;CAR;2016-03-11 09:50:52;Vésenaz (Tranchée);2504202.41;1121575.48;;
6020.1;17951;19038;Rampe du Pont-Rouge;;;;;;sur demande;180.0;Toutes_Directions;119638.0;PCRT;2010-04-12 10:53:33.000001;Pont-Rouge / Grand-Lancy;2498539.70;1115991.99;;
0.0;17904;11770;Route du Grand-Lancy;;;;;;non;90.0;Toutes_Directions;115159.0;PCRT;2010-04-12 10:53:25.000001;Grand-Lancy / Pont-Rouge;2498578.37;1115958.00;;
0.0;7213;00086;Route des Acacias;;;;;;non;50.0;Toutes_Directions;114617.0;PCRT;2010-04-12 10:48:47;Acacias / François Dussaud;2499455.93;1116400.03;;
9.1;510;11266;Quai du Général- GUISAN;;;;;;sur demande;110.0;Tourner_Gauche;115422.0;PCRT;2010-04-12 10:48:25;Général Guisan / Port;2500610.22;1117746.72;;
0.0;25216;18180;Avenue Louis- PICTET;;;;;;non;210.0;Tourner_Gauche;116217.0;PCRT;2011-04-12 10:53:43;Louis-Pictet / Montfleury;2495524.05;1119330.19;;
0.0;25215;18180;Avenue Louis- PICTET;;;;;;non;225.0;Toutes_Directions;116217.0;PCRT;2011-04-12 10:53:51;Louis-Pictet / Montfleury;2495520.46;1119332.97;;
0.0;25212;16101;Route de Montfleury;;;;;;non;85.0;Tourner_Gauche;110804.0;PCRT;2011-04-12 10:53:41.000001;Monfleury (Rte) / Peney;2495451.72;1119311.84;;
0.0;25211;16101;Route de Montfleury;;;;;;non;98.0;Toutes_Directions;110804.0;PCRT;2011-04-12 10:53:48;Monfleury (Rte) / Peney;2495451.31;1119309.33;;
138.1;25266;03077;Chemin de la Boule;;;;;;non;300.0;Toutes_Directions;115368.0;PCRT;2011-04-12 10:53:46;Vernier / Peney;2495551.64;1119287.27;;
141.20000000000002;25276;17604;Route de Peney;;;;;;non;45.0;Toutes_Directions;110091.0;PCRT;2011-04-12 10:53:45;Peney / Montfleury;2495469.61;1119274.83;;
136.1;25304;18180;Avenue Louis- PICTET;;;;;;sur demande;10.0;Toutes_Directions;116217.0;PCRT;2010-04-12 10:51:38;Louis-Pictet / Nant-d'Avril;2495615.65;1119571.93;;
137.1;25381;16780;Route du Nant-d'Avril;;;;;;non;105.0;Toutes_Directions;116215.0;PCRT;2011-09-20 16:36:03;Nant-Avril (ouest Louis Pictet);2495575.94;1119625.22;;
67.2;53661;14265;Rue de Lyon;;;2012;;2012;365 jrs/an;285.0;Toutes_Directions;117573.0;PCRT;2016-09-13 15:04:13;Lyon / Charmilles;2498507.15;1118346.17;;
130.1;25705;10758;Route des Franchises;;;2012;;2012;2 mois par an;330.0;Toutes_Directions;110660.0;PCRT;2016-09-13 15:04:10;Franchises / ECG Dunant;2498194.12;1118828.57;;
0.0;m269;91251;  N 1a;;;;;;non;20.0;Toutes_Directions;114959.0;PCRT;2010-04-12 10:55:02;;2498611.69;1114256.11;;
270.2;32570;21628;Route de Saint-Julien;;;;;;2 mois par an;235.0;Toutes_Directions;115134.0;PCRT;2010-04-12 11:33:05.000001;Saint-Julien / Sapey;2498690.72;1114344.85;;
0.0;m266;06785;Avenue des Communes-Réunies;;;;;;non;275.0;Tourner_Droite;117539.0;PCRT;2010-04-12 10:49:30;;2498504.39;1114227.18;;
0.0;m268;06785;Avenue des Communes-Réunies;;;;;;non;190.0;Tourner_Droite;115187.0;PCRT;2010-04-12 10:52:10;;2498485.27;1114211.09;;
0.0;m267;06785;Avenue des Communes-Réunies;;;;;;non;125.0;Tourner_Gauche;117539.0;PCRT;2010-04-12 10:50:54;;2498493.92;1114219.81;;
0.0;m253;04898;Route de La-Chapelle;;;;;;non;305.0;Toutes_Directions;120144.0;PCRT;2010-04-12 10:49:26;Chapelle / Saint-Julien;2498977.91;1114474.23;;
277.1;25019;10928;Route de la Galaise;;;2012;;2012;2 mois par an;325.0;Toutes_Directions;116561.0;PCRT;2016-09-13 15:03:21;Galaise / Saint-Julien;2497107.61;1113378.22;;
281.2;41601;04359;Route de Certoux;;;2012;;2012;2 mois par an;60.0;Toutes_Directions;111304.0;PCRT;2016-09-13 15:03:17;Certoux / Saint-Julien;2496401.58;1112742.81;;
111.2;11405;24546;Route du Vallon;;;;;;non;210.0;Tourner_Gauche;117499.0;PCRT;2010-04-12 10:48:49;Vallon / Malagnou;2503005.33;1116424.74;;
111.10000000000001;11403;24546;Route du Vallon;;;;;;non;225.0;Toutes_Directions;117499.0;PCRT;2010-04-12 10:49:27;Vallon / Malagnou;2503004.33;1116427.94;;
146.1;17012;13030;Rue François- JACQUIER;;;;;;sur demande;165.0;Toutes_Directions;111567.0;PCRT;2010-04-12 10:52:24;François-Jacquier / Genève;2504317.23;1116582.56;;
149.1;16923;13102;Avenue Adrien- JEANDIN;;;;;;sur demande;198.0;Toutes_Directions;118565.0;PCRT;2010-04-12 10:59:45;Adrien-Jeandin / Genève;2504575.42;1116435.34;;
2021.2;22;90123;Pont  BUTIN;;;2012;;2012;365 jrs/an;175.0;Toutes_Directions;120043.0;;2016-09-13 15:02:37.000001;* Butin (Pont, T. 152);2497490.27;1117698.53;;
;toto;;;;;;;;;;;;;2016-09-27 08:23:51.000001;A1 LS : km 990;nan;nan;;
6055.2;3819;05304;Avenue de Châtelaine;Entrée ville;9813;2015;9329;2015;sur demande;107.0;;118829.0;PCRT;2016-10-12 10:06:36;Châtelaine / Golay;2497924.82;1118523.53;;
6055.1;3861;05304;Avenue de Châtelaine;Sortie ville;12936;2015;12191;2015;sur demande;287.0;;118829.0;PCRT;2016-10-12 10:06:36;Châtelaine / Golay;2497928.53;1118535.17;;
