ID_GM_CARREFOUR;TYPE;COMMENTAIRE;DATE_MAJ;RAYON;E;N
225295;Autres carrefours;;2008-04-18 16:22:01;;2500026.56;1117819.30
222845;Autres carrefours;;2008-04-18 16:22:01;;2499978.24;1117811.97
227273;Autres carrefours;;2008-04-18 16:22:01;;2498172.93;1115376.33
226951;Autres carrefours;;2008-04-18 16:22:01;;2498253.84;1115333.81
223482;Giratoire;;2016-02-19 11:03:43;10;2498927.78;1120830.00
228621;Giratoire;;2016-02-19 11:00:58;21;2499175.35;1120687.86
223639;Giratoire;;2016-02-19 10:45:34;10;2497072.63;1120073.86
228897;Giratoire;;2016-02-19 11:06:04;10;2495409.46;1120879.20
229081;Giratoire;;2016-02-19 10:53:21;16;2493586.06;1120272.16
225854;Giratoire;;2016-02-19 10:44:15;;2495545.38;1119944.14
226567;Autres carrefours;;2016-02-19 10:49:25;;2495458.26;1120291.35
223805;Giratoire;;2016-02-19 10:58:24;10;2505473.34;1120664.99
227777;Giratoire;;2016-02-19 11:07:43;30;2493974.36;1120882.85
223804;Giratoire;;2016-02-19 11:05:36;12;2505546.25;1120745.39
225857;Giratoire;;2016-02-19 10:42:34;25;2494864.60;1119821.18
227750;Giratoire;;2016-02-19 10:41:36;3;2496282.89;1119767.01
224348;Giratoire;;2016-02-19 10:55:46;7;2503593.73;1120631.29
227815;Giratoire;;2016-02-19 10:43:43;18;2492609.65;1119897.61
226313;Giratoire;;2016-02-19 10:31:52;;2499496.69;1119621.73
224844;Giratoire;;2016-02-19 10:33:04.000001;16;2497243.48;1119648.69
224846;Giratoire;;2016-02-19 10:37:56;13;2497486.71;1119725.43
224843;Giratoire;;2016-02-19 10:36:42.000001;16;2497343.15;1119688.59
223887;Giratoire;;2016-02-19 10:33:30;8;2504620.03;1119636.75
224895;Giratoire;;2016-02-19 10:22:26;13;2498729.92;1119358.28
228670;Giratoire;;2016-02-19 10:23:26.000001;12;2497800.27;1119382.99
224823;Giratoire;;2016-02-19 10:26:41;11;2498204.25;1119565.05
224935;Giratoire;;2016-02-19 10:20:36;14;2497504.15;1119217.19
226510;Giratoire;;2016-02-19 10:22:50;13;2491732.97;1119378.14
225834;Giratoire;;2016-02-19 10:26:10.000001;15;2495062.19;1119425.24
228750;Giratoire;;2016-02-19 10:09:35.000001;3;2497680.21;1118868.99
229150;Giratoire;;2016-02-19 10:15:14;8;2503157.14;1119168.07
228774;Giratoire;;2016-02-19 10:04:50;16;2503168.89;1118645.56
227595;Giratoire;;2016-02-19 10:08:40;11;2491678.18;1118840.88
224326;Giratoire;;2016-02-19 10:10:43;7;2502952.01;1119045.48
224153;Autres carrefours;;2016-02-19 10:12:02;;2502964.38;1119061.30
228529;Autres carrefours;;2016-07-07 12:00:03;;2504778.20;1117913.59
232386;Impasse;;2016-08-09 08:16:52;;2499381.99;1114311.24
233140;Impasse;;2016-08-11 14:55:03;;2502030.16;1125697.69
239192;Autres carrefours;;2016-08-15 16:51:37;;2501935.47;1125706.00
239191;Autres carrefours;;2016-08-15 16:51:36;;2504553.07;1118061.12
239190;Autres carrefours;;2016-08-15 16:51:36;;2504539.11;1118018.10
239231;Autres carrefours;;2017-01-11 11:19:53;;2502984.15;1117913.18
239232;Autres carrefours;;2017-01-11 11:19:56;;2502810.93;1117761.57
239075;Autres carrefours;;2017-01-18 10:12:35.000001;;2505383.33;1117842.93
239079;Autres carrefours;;2017-01-18 09:22:44;;2505503.33;1117597.86
239076;Autres carrefours;;2017-01-18 10:13:00;;2505292.07;1117691.90
232695;Changement voie;;2017-01-23 10:24:20;;2496693.72;1111525.12
233539;Changement voie;;2017-02-09 10:57:53;;2500229.98;1117603.76
233024;Impasse;;2017-02-21 14:37:42.000001;;2499277.04;1110940.23
239073;Autres carrefours;;2017-03-13 15:16:33;;2505368.23;1117725.70
239409;Autres carrefours;;2017-03-21 10:19:07;;2501116.63;1115708.35
239401;Autres carrefours;;2017-03-21 10:27:19;;2505346.07;1117408.11
239386;Autres carrefours;;2017-03-21 10:27:13;;2505248.45;1117749.57
239390;Autres carrefours;;2017-03-21 10:27:15;;2505311.86;1117565.32
239407;Autres carrefours;;2017-03-21 10:27:22;;2498618.03;1121030.03
239405;Autres carrefours;;2017-03-21 10:27:21;;2498944.67;1122436.76
239391;Autres carrefours;;2017-03-21 10:27:15;;2505193.33;1117477.15
239402;Autres carrefours;;2017-03-21 10:27:20;;2505168.13;1117288.75
232380;Impasse;;2017-03-21 10:08:01;;2501086.50;1115632.69
239393;Autres carrefours;;2017-03-21 10:27:16;;2505431.71;1117876.42
239383;Autres carrefours;;2017-03-21 10:27:12;;2505265.00;1117623.67
239387;Autres carrefours;;2017-03-21 10:27:14;;2505460.03;1117477.54
226211;Autres carrefours;;2008-06-13 10:27:45;;2503004.21;1113323.47
226788;Autres carrefours;;2008-11-24 15:40:57;;2500325.61;1116598.05
232268;Impasse;;2010-04-28 15:45:20.000001;;2501741.28;1127274.68
225359;Signalisation lumineuse;;2008-04-18 16:22:01;;2499852.51;1117348.90
223087;Autres carrefours;;2008-04-18 16:22:01;;2499854.23;1117411.34
235947;Autres carrefours;;2008-06-11 14:13:32;;2497904.88;1115951.30
224853;Autres carrefours;;2008-04-18 16:22:01;;2497700.56;1118406.84
226239;Giratoire;;2016-02-18 10:00:41;14;2502822.10;1113794.48
